5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,2137.91,msec,task-clock,0.01%,2137911949,100.00,0.999,CPUs utilized,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,5058933,,L1-dcache-load-misses,0.07%,1668689705,78.05,1.32,of all L1-dcache accesses,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,384162558,,L1-dcache-loads,0.04%,1678172565,78.49,179.692,M/sec,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,384729602,,L1-dcache-stores,0.03%,1669056610,78.07,179.957,M/sec,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,340288,,L1-icache-load-misses,4.18%,1658837773,77.59,,,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
5,NsquareTile,128_30528_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,2139624355,ns,duration_time,0.01%,2139624355,100.00,1.001,G/sec,perf-results-driver-matmul-m128_n30528_k128-ACC_v4_Ns_64_64_64_5_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,1542217,,branch-instructions,1.53%,29930989,59.94,30.984,M/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,244375,,branch-misses,2.32%,29970644,60.02,16.58,of all branches,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,9025105,,cache-references,0.78%,29191835,58.46,181.318,M/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,136891,,cache-misses,2.17%,39180016,78.46,1.487,of all cache refs,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
