128_128_128,128_128_128,matmul_i32,mlir_ACC,8,v1,Ns,1,tul_rel,53404,,L1-icache-load-misses,21.91%,69694769,77.42,,,perf-results-driver-matmul-m128_n128_k128-ACC-acc8_v1_Ns.csv
128_128_128,128_128_128,matmul_i32,mlir_ACC,8,v1,Ns,1,tul_rel,91313163,ns,duration_time,0.12%,91313163,100.00,1.011,G/sec,perf-results-driver-matmul-m128_n128_k128-ACC-acc8_v1_Ns.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,1906076,,branch-instructions,1.26%,72581715,77.09,20.226,M/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,246069,,branch-misses,2.29%,74175537,78.79,12.81,of all branches,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,12669362,,cache-references,0.06%,64171097,68.16,134.440,M/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,193094,,cache-misses,1.17%,64269965,68.27,1.522,of all cache refs,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,60933667,,cpu-cycles,0.08%,74268897,78.89,0.647,GHz,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,1,,context-switches,20.00%,94132594,100.00,10.611,/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,158,,page-faults,0.16%,94132594,100.00,1.677,K/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,94.13,msec,task-clock,0.09%,94132594,100.00,0.987,CPUs utilized,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,186419,,L1-dcache-load-misses,1.03%,74271722,78.89,1.47,of all L1-dcache accesses,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,12662663,,L1-dcache-loads,0.04%,74152395,78.76,134.369,M/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,12795759,,L1-dcache-stores,0.43%,71415848,75.86,135.781,M/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,28958,,L1-icache-load-misses,46.26%,69842485,74.18,,,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
128_128_128,128_128_128,matmul_i32,cpp_MAN,8,v3,Bs,1,tul_rel,95221855,ns,duration_time,0.09%,95221855,100.00,1.010,G/sec,perf-results-driver-matmul-m128_n128_k128-MAN-acc8_v3_Bs.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,478983,,branch-instructions,3.12%,7346587,49.95,32.380,M/sec,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,125649,,branch-misses,0.59%,14707910,100.00,26.74,of all branches,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,1813557,,cache-references,0.11%,14707910,100.00,122.601,M/sec,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,46573,,cache-misses,0.43%,14707910,100.00,2.568,of all cache refs,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,9507744,,cpu-cycles,0.27%,14707910,100.00,0.643,GHz,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
16_16_16,16_16_16,matmul_i32,mlir_ACC,16,v2,Ns,1,tul_rel,0,,context-switches,0.00%,14705823,100.00,0.000,/sec,perf-results-driver-matmul-m16_n16_k16-ACC-acc16_v2_Ns.csv
