B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,783744,,branch-misses,1.12%,820055035,77.36,1.50,of all branches
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,303517561,,cache-references,0.05%,700263516,66.06,286.333,M/sec
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,2834531,,cache-misses,0.82%,700228631,66.06,0.933,of all cache refs
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,686910548,,cpu-cycles,0.06%,820224501,77.38,0.648,GHz
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,3,,context-switches,13.33%,1060006672,100.00,2.830,/sec
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,339,,page-faults,0.11%,1060006672,100.00,319.806,/sec
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,1060.01,msec,task-clock,0.07%,1060006672,100.00,0.999,CPUs utilized
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,2835326,,L1-dcache-load-misses,0.83%,820042340,77.36,0.93,of all L1-dcache accesses
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,304635679,,L1-dcache-loads,0.04%,829930417,78.29,287.388,M/sec
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,304376269,,L1-dcache-stores,0.11%,839606289,79.20,287.143,M/sec
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,175910,,L1-icache-load-misses,8.03%,829926674,78.29,,
B1_IHW14_IC256_FHW1_OC512_ST2,1_14_256_1_512_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,1061375917,ns,duration_time,0.07%,1061375917,100.00,1.001,G/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,339955850,,branch-instructions,0.08%,10210391557,77.76,26.008,M/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,6975220,,branch-misses,1.70%,10210420292,77.76,2.06,of all branches
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,3648207247,,cache-references,0.02%,8750719301,66.65,279.107,M/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,50522482,,cache-misses,0.02%,8750584815,66.65,1.386,of all cache refs
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,8510720543,,cpu-cycles,0.19%,10210431593,77.76,0.651,GHz
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,16,,context-switches,11.86%,13129847417,100.00,1.224,/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,853,,page-faults,0.04%,13129847417,100.00,65.259,/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,13129.85,msec,task-clock,0.19%,13129847417,100.00,1.004,CPUs utilized
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,50475107,,L1-dcache-load-misses,0.02%,10210338577,77.76,1.38,of all L1-dcache accesses
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,3649747398,,L1-dcache-loads,0.02%,10216160483,77.81,279.225,M/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,3651362990,,L1-dcache-stores,0.03%,10218652379,77.83,279.348,M/sec
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,768193,,L1-icache-load-misses,1.16%,10212936224,77.78,,
B1_IHW16_IC256_FHW3_OC256_ST1,1_16_256_3_256_1,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,247668052,ns,duration_time,10.21%,247668052,100.00,18.948,M/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,170312295,,branch-instructions,0.05%,5058225095,77.61,26.126,M/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,4130907,,branch-misses,1.36%,5058049753,77.60,2.42,of all branches
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,1832549861,,cache-references,0.02%,4343399525,66.64,281.119,M/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,12856732,,cache-misses,1.30%,4353696083,66.80,0.701,of all cache refs
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,4223222595,,cpu-cycles,0.07%,5078495948,77.92,0.648,GHz
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,12,,context-switches,11.37%,6517593877,100.00,1.841,/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,612,,page-faults,0.03%,6517593877,100.00,93.883,/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,6517.59,msec,task-clock,0.07%,6517593877,100.00,0.999,CPUs utilized
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,12856063,,L1-dcache-load-misses,1.30%,5078296129,77.92,0.70,of all L1-dcache accesses
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,1832478360,,L1-dcache-loads,0.02%,5077981339,77.91,281.108,M/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,1833582802,,L1-dcache-stores,0.03%,5073233074,77.84,281.277,M/sec
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,416507,,L1-icache-load-misses,5.01%,5063426648,77.69,,
B1_IHW30_IC128_FHW3_OC256_ST2,1_30_128_3_256_2,conv2d_i32,cpp_MAN,ACC,v3,1,jude_rel,18446744071640309760,ns,duration_time,0.00%,18446744071640309760,100.00,2829786128.224,G/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,356405585,,branch-instructions,0.13%,6786030707,77.77,40.843,M/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,16556148,,branch-misses,1.17%,6785974983,77.77,4.64,of all branches
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,1126333393,,cache-references,0.11%,5816561498,66.66,129.075,M/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,20099869,,cache-misses,1.87%,5816327896,66.66,1.782,of all cache refs
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,5653176000,,cpu-cycles,0.00%,6785979652,77.77,0.648,GHz
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,20,,context-switches,2.92%,8725138802,100.00,2.292,/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,2924,,page-faults,0.01%,8725138802,100.00,335.083,/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,8725.14,msec,task-clock,0.00%,8725138802,100.00,0.999,CPUs utilized
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,20083875,,L1-dcache-load-misses,1.87%,6785801204,77.77,1.78,of all L1-dcache accesses
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,1128532141,,L1-dcache-loads,0.09%,6785968234,77.77,129.327,M/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,1128655985,,L1-dcache-stores,0.09%,6787664598,77.79,129.341,M/sec
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,1865172,,L1-icache-load-misses,0.56%,6787786894,77.79,,
B1_IHW30_IC128_FHW3_OC128_ST1,1_30_128_3_128_1,conv2d_i32,MLIR,ACC,v3,1,jude_rel,139332480,ns,duration_time,0.32%,139332480,100.00,15.967,M/sec
B1_IHW16_IC256_FHW3_OC512_ST2,1_16_256_3_512_2,conv2d_i32,MLIR,CPU,NONE,1,jude_rel,222764678,,branch-instructions,0.00%,4339963868,77.53,39.634,M/sec
